Term,PosScore,NegScore,Urdu
busybody,0.0,-0.9,مصروف
menacingly,0.0,-0.9,مردانہ طور پر
farce,0.0,-0.9,مسرت
lividly,0.0,-0.9,اچھی طرح سے
high-priced,0.0,-0.9,اعلی قیمت
massacre,0.0,-0.9,قتل عام
repressive,0.0,-0.9,جابرانہ
hostilities,0.0,-0.9,دشمنی
exaggeration,0.0,-0.9,مبالغہ آرائی
imposition,0.0,-0.9,مسلط کرنا
cancerous,0.0,-0.9,کینسر
snobish,0.0,-0.9,سنوبش
illegally,0.0,-0.9,غیر قانونی طور پر
manipulators,0.0,-0.9,ہیرا پھیری
obese,0.0,-0.9,موٹے
stunted,0.0,-0.9,حیرت زدہ
discoutinous,0.0,-0.9,متنازعہ
oversize,0.0,-0.9,بڑا
bungling,0.0,-0.9,bungling
inequitably,0.0,-0.9,غیر مساوی طور پر
flaky,0.0,-0.9,فلیکی
ruthlessly,0.0,-0.9,بے رحمی سے
slowww,0.0,-0.9,آہستہ
wildly,0.0,-0.9,بیدردی سے
harangue,0.0,-0.9,ہرانگ
tattered,0.0,-0.9,بکھرے ہوئے
dissent,0.0,-0.9,اختلاف
madman,0.0,-0.9,پاگل
overstatements,0.0,-0.9,حد سے زیادہ
disputed,0.0,-0.9,متنازعہ
irritations,0.0,-0.9,جلن
gravely,0.0,-0.9,سختی سے
crash,0.0,-0.9,کریش
limit,0.0,-0.9,حد
deluded,0.0,-0.9,دھوکہ دیا
misguide,0.0,-0.9,گمراہی
struggles,0.0,-0.9,جدوجہد
radicals,0.0,-0.9,ریڈیکلز
derogatory,0.0,-0.9,توہین آمیز
suicidal,0.0,-0.9,خودکشی
lewdness,0.0,-0.9,بدکاری
wobbled,0.0,-0.9,ڈوبی ہوئی
unwelcome,0.0,-0.9,ناپسندیدہ
discombobulate,0.0,-0.9,discompobulate
fatalistic,0.0,-0.9,مہلک
malady,0.0,-0.9,بیماری
wounds,0.0,-0.9,زخم
misalign,0.0,-0.9,misalign
jitter,0.0,-0.9,جھنجھٹ
dizzingly,0.0,-0.9,چکرا کر
vilify,0.0,-0.9,بدنام کرنا
indiscretion,0.0,-0.9,بے راہ روی
bumpping,0.0,-0.9,bumpping
jolt,0.0,-0.9,جھٹکا
adversity,0.0,-0.9,مشکلات
wrongful,0.0,-0.9,غلط
confound,0.0,-0.9,الجھاؤ
awkwardness,0.0,-0.9,عجیب
tempest,0.0,-0.9,طوفان
overkill,0.0,-0.9,overkill
despot,0.0,-0.9,ڈیموٹو
sarcastic,0.0,-0.9,طنزیہ
maddening,0.0,-0.9,پاگل پن
ordeal,0.0,-0.9,آزمائش
chore,0.0,-0.9,کام کاج
stressfully,0.0,-0.9,دباؤ سے
foully,0.0,-0.9,پوری طرح سے
back-wood,0.0,-0.9,پیچھے کی لکڑی
crush,0.0,-0.9,کچلنا
splatter,0.0,-0.9,چھڑکنا
undue,0.0,-0.9,ناجائز
vent,0.0,-0.9,ہوا
full-blown,0.0,-0.9,مکمل تباہ
backwardness,0.0,-0.9,پسماندگی
maniac,0.0,-0.9,پاگل
insincerely,0.0,-0.9,گستاخانہ انداز میں
miscalculate,0.0,-0.9,غلط حساب کتاب
traumatized,0.0,-0.9,صدمہ پہنچا
instigators,0.0,-0.9,اشتعال انگیز
lawlessness,0.0,-0.9,لاقانونیت
corrupts,0.0,-0.9,بدعنوانی
jeopardy,0.0,-0.9,خطرہ
stupid,0.0,-0.9,بیوقوف
spiritless,0.0,-0.9,بے روح
alarm,0.0,-0.9,الارم
inhospitality,0.0,-0.9,ہاسپٹلٹی
harmed,0.0,-0.9,نقصان پہنچا
franticly,0.0,-0.9,واضح طور پر
stigma,0.0,-0.9,بدنما داغ
prosecute,0.0,-0.9,قانونی چارہ جوئی
hardships,0.0,-0.9,مشکلات
impulsive,0.0,-0.9,تسلی بخش
cliched,0.0,-0.9,کلک کیا
scarce,0.0,-0.9,قلیل
unusably,0.0,-0.9,غیرمعمولی طور پر
lure,0.0,-0.9,لالچ
corrupt,0.0,-0.9,بدعنوان
dauntingly,0.0,-0.9,مشکل سے
crummy,0.0,-0.9,crummy
wayward,0.0,-0.9,راستے میں
negligence,0.0,-0.9,غفلت
vociferously,0.0,-0.9,آواز سے
slaughtered,0.0,-0.9,ذبح
complaining,0.0,-0.9,شکایت
indulge,0.0,-0.9,ملوث کرنا
spurious,0.0,-0.9,تیز
missed,0.0,-0.9,چھوٹ گیا
knave,0.0,-0.9,چاقو
tenderness,0.0,-0.9,کوملتا
wariness,0.0,-0.9,وارنٹی
villianous,0.0,-0.9,villianous
odor,0.0,-0.9,بدبو
stagnation,0.0,-0.9,جمود
asinininity,0.0,-0.9,asinininity
demon,0.0,-0.9,شیطان
caustically,0.0,-0.9,caustically
disinclined,0.0,-0.9,مائل
facetious,0.0,-0.9,حقیقت پسندانہ
fiend,0.0,-0.9,fiend
galling,0.0,-0.9,چکرا جانا
havoc,0.0,-0.9,تباہی
nefarious,0.0,-0.9,ناپاک
grumpiest,0.0,-0.9,بدبخت
insubstantially,0.0,-0.9,یقینی طور پر
blurred,0.0,-0.9,دھندلاپن
aching,0.0,-0.9,تکلیف
losses,0.0,-0.9,نقصانات
cussed,0.0,-0.9,cussed
diss,0.0,-0.9,diss
cloudy,0.0,-0.9,ابر آلود
horrific,0.0,-0.9,خوفناک
raging,0.0,-0.9,رنجش
bewilder,0.0,-0.9,حیرت زدہ
hates,0.0,-0.9,نفرت کرتا ہے
vexation,0.0,-0.9,چوٹ
jerky,0.0,-0.9,دھچکا
irascible,0.0,-0.9,irascible
deplorably,0.0,-0.9,بدفعلی سے
evils,0.0,-0.9,برائیاں
setbacks,0.0,-0.9,دھچکے
mischief,0.0,-0.9,فساد
reprehensible,0.0,-0.9,قابل مذمت
susceptible,0.0,-0.9,حساس
itchy,0.0,-0.9,خارش دار
fuck,0.0,-0.9,بھاڑ میں جاؤ
hassled,0.0,-0.9,پریشان
lack,0.0,-0.9,کمی
apathetic,0.0,-0.9,بے حس
overpower,0.0,-0.9,طاقت
backache,0.0,-0.9,کمر درد
disruption,0.0,-0.9,خلل
harpy,0.0,-0.9,ہارپی
misunderstandings,0.0,-0.9,غلط فہمیوں
misbecome,0.0,-0.9,بدبخت
misconception,0.0,-0.9,غلط فہمی
overblown,0.0,-0.9,دبے ہوئے
symptom,0.0,-0.9,علامت
trashy,0.0,-0.9,ردی کی ٹوکری میں
graceless,0.0,-0.9,مکرم
obstruct,0.0,-0.9,رکاوٹ
straggler,0.0,-0.9,سٹراگلر
dismally,0.0,-0.9,مایوسی سے
bomb,0.0,-0.9,بم
cranky,0.0,-0.9,کرینک
lambaste,0.0,-0.9,لیمباسٹی
inane,0.0,-0.9,inane
suck,0.0,-0.9,چوسنا
absurdness,0.0,-0.9,مضحکہ خیزی
headaches,0.0,-0.9,سر درد
confounding,0.0,-0.9,الجھاؤ
pigs,0.0,-0.9,خنزیر
offensiveness,0.0,-0.9,جارحیت
evade,0.0,-0.9,بچنا
lesser-known,0.0,-0.9,کم جانا جاتا ہے
infections,0.0,-0.9,انفیکشن
stammer,0.0,-0.9,پیدا ہوتا ہے
insulting,0.0,-0.9,توہین آمیز
victimize,0.0,-0.9,شکار کرنا
incompatible,0.0,-0.9,متضاد
derisive,0.0,-0.9,مضحکہ خیز
thoughtlessly,0.0,-0.9,سوچ سمجھ کر
curses,0.0,-0.9,ریس
deadly,0.0,-0.9,مہلک
drunkard,0.0,-0.9,شرابی
inadverent,0.0,-0.9,inadverent
paradoxical,0.0,-0.9,متضاد
suicide,0.0,-0.9,خودکشی
downheartedly,0.0,-0.9,دل سے
discouragingly,0.0,-0.9,حوصلہ شکنی سے
testy,0.0,-0.9,ٹیسٹ
sap,0.0,-0.9,sap
unreliability,0.0,-0.9,ناقابل اعتماد
mislike,0.0,-0.9,ناپسندیدگی
incapable,0.0,-0.9,نااہل
paranoia,0.0,-0.9,پیراونیا
perilous,0.0,-0.9,خطرناک
guilt,0.0,-0.9,قصور
subservience,0.0,-0.9,ماتحت
unjustified,0.0,-0.9,بلاجواز
scrambling,0.0,-0.9,کھرچنا
belie,0.0,-0.9,یقین کرنا
mar,0.0,-0.9,سمندر
sinking,0.0,-0.9,ڈوب رہا ہے
contagious,0.0,-0.9,متعدی
craps,0.0,-0.9,بیدار
overbalance,0.0,-0.9,زیادہ توازن
uncivilized,0.0,-0.9,غیر مہذب
wilt,0.0,-0.9,چاہتے ہیں
headache,0.0,-0.9,سر درد
traumatize,0.0,-0.9,صدمے سے دوچار ہونا
worse,0.0,-0.9,بدتر
disturbingly,0.0,-0.9,پریشان کن
disfavor,0.0,-0.9,ناپسندیدگی
deteriorating,0.0,-0.9,بگڑ رہا ہے
regretted,0.0,-0.9,افسوس ہوا
disobedient,0.0,-0.9,نافرمان
dings,0.0,-0.9,ڈنگز
inapt,0.0,-0.9,inapt
snag,0.0,-0.9,سناگ
surrender,0.0,-0.9,ہتھیار ڈالنے
illicit,0.0,-0.9,ناجائز
obtuse,0.0,-0.9,اوباٹ
defiantly,0.0,-0.9,بیشک
flawed,0.0,-0.9,عیب دار
falsely,0.0,-0.9,جھوٹا
infirm,0.0,-0.9,بیمار
persecute,0.0,-0.9,ستائے
cataclysmic,0.0,-0.9,تباہ کن
stubbornness,0.0,-0.9,ضد
castrated,0.0,-0.9,ڈال دیا
bleeds,0.0,-0.9,خون بہتا ہے
stodgy,0.0,-0.9,stodgy
absentee,0.0,-0.9,غیر حاضر
slave,0.0,-0.9,غلام
deficient,0.0,-0.9,کمی
meddlesome,0.0,-0.9,meddlesome
inundate,0.0,-0.9,سیلاب زدہ
cramping,0.0,-0.9,کھینچنا
loathe,0.0,-0.9,نفرت کرنا
despotic,0.0,-0.9,مہذب
dick,0.0,-0.9,ڈک
insupportable,0.0,-0.9,ناقابل ضمانت
straining,0.0,-0.9,تناؤ
defiance,0.0,-0.9,انحراف
bombastic,0.0,-0.9,بمباری
confusion,0.0,-0.9,الجھاؤ
disagreement,0.0,-0.9,اختلاف
pretence,0.0,-0.9,دکھاوا
criticisms,0.0,-0.9,تنقید
concede,0.0,-0.9,عطا
accusations,0.0,-0.9,الزامات
lackey,0.0,-0.9,لاکی
stricken,0.0,-0.9,زدہ
unfamiliar,0.0,-0.9,ناواقف
sceptical,0.0,-0.9,شکی
chastisement,0.0,-0.9,عذاب
choke,0.0,-0.9,گلا گھونٹنا
cruelties,0.0,-0.9,ظلم
renounce,0.0,-0.9,ترک کرنا
stolen,0.0,-0.9,چوری
unipolar,0.0,-0.9,یک قطبی
spitefully,0.0,-0.9,بہرحال
humiliation,0.0,-0.9,ذلت
revenge,0.0,-0.9,بدلہ
underlings,0.0,-0.9,زیر جامہ
reactionary,0.0,-0.9,رد عمل پسند
hurted,0.0,-0.9,تکلیف دی
deprave,0.0,-0.9,تنزلی
heartless,0.0,-0.9,بے دل
horrify,0.0,-0.9,خوفناک
contempt,0.0,-0.9,حقارت
rhetorical,0.0,-0.9,بیان بازی
crook,0.0,-0.9,بدمعاش
less-developed,0.0,-0.9,کم ترقی یافتہ
brutish,0.0,-0.9,سفاک
reprehensive,0.0,-0.9,ملامت
inflammation,0.0,-0.9,سوجن
relentless,0.0,-0.9,بے لگام
corrupted,0.0,-0.9,خراب
forlornly,0.0,-0.9,forlornly
contortions,0.0,-0.9,سنکچن
loathsomely,0.0,-0.9,نفرت سے
pitiless,0.0,-0.9,بے رحمی
disapprove,0.0,-0.9,مسترد کریں
bastard,0.0,-0.9,حرامزادہ
ineffectiveness,0.0,-0.9,بے اثر ہونا
strife,0.0,-0.9,جھگڑا
chronic,0.0,-0.9,دائمی
unthinkably,0.0,-0.9,کچھ بھی نہیں
harass,0.0,-0.9,ہراساں کرنا
taint,0.0,-0.9,داغدار
haggle,0.0,-0.9,ہاگل
mistaken,0.0,-0.9,غلطی
denigrate,0.0,-0.9,ذلیل کرنا
irresolute,0.0,-0.9,غیر معقول
sinister,0.0,-0.9,منحوس
clamor,0.0,-0.9,شور
fake,0.0,-0.9,جعلی
imaginary,0.0,-0.9,فرضی
cliche,0.0,-0.9,کلچ
insubordinate,0.0,-0.9,غیر تسلی بخش
despicable,0.0,-0.9,حقیر
fainthearted,0.0,-0.9,کمزور دل
refute,0.0,-0.9,تردید کرنا
slower,0.0,-0.9,سست
deceivers,0.0,-0.9,دھوکے باز
nagging,0.0,-0.9,ہنسنا
solemn,0.0,-0.9,پختہ
fiendish,0.0,-0.9,fiendish
haphazard,0.0,-0.9,ہافزارڈ
truant,0.0,-0.9,سچا
greed,0.0,-0.9,لالچ
unfinished,0.0,-0.9,نامکمل
slow-moving,0.0,-0.9,سست رفتار
despondency,0.0,-0.9,مایوسی
mischievously,0.0,-0.9,شرارت سے
plague,0.0,-0.9,طاعون
cackle,0.0,-0.9,cackle
inhumane,0.0,-0.9,غیر انسانی
fumble,0.0,-0.9,گرنا
cataclysmically,0.0,-0.9,تباہ کن
disdain,0.0,-0.9,نفرت کرنا
overstate,0.0,-0.9,حد سے زیادہ
odder,0.0,-0.9,اوٹر
inexorably,0.0,-0.9,inexorably
rile,0.0,-0.9,ممالک
mirage,0.0,-0.9,سراب
longingly,0.0,-0.9,دیر سے
hedge,0.0,-0.9,رکاوٹ
precipitate,0.0,-0.9,جلدی کرنا
scarily,0.0,-0.9,ڈراؤنا
uproariously,0.0,-0.9,مشتعل
blurry,0.0,-0.9,دھندلا
capriciously,0.0,-0.9,capriciously
messy,0.0,-0.9,گندا
unilateralism,0.0,-0.9,یکطرفہ پن
immovable,0.0,-0.9,غیر منقولہ
roadblocks,0.0,-0.9,روڈ بلاکس
somber,0.0,-0.9,somber
teasingly,0.0,-0.9,چھیڑ چھاڑ سے
upsetting,0.0,-0.9,پریشان کن
irked,0.0,-0.9,ناراض
restriction,0.0,-0.9,پابندی
inexperience,0.0,-0.9,ناتجربہ کاری
breaking,0.0,-0.9,توڑنے
illogically,0.0,-0.9,غیر منطقی طور پر
infraction,0.0,-0.9,جرم
flaws,0.0,-0.9,خامیوں
annihilation,0.0,-0.9,فنا
emptiness,0.0,-0.9,خالی پن
nauseate,0.0,-0.9,متلی
alarmed,0.0,-0.9,خوف زدہ
contamination,0.0,-0.9,آلودگی
disrespect,0.0,-0.9,بے عزتی کرنا
problems,0.0,-0.9,مسائل
punishable,0.0,-0.9,قابل سزا
unfaithfully,0.0,-0.9,بے وفا
frazzled,0.0,-0.9,بکھرا ہوا
juddering,0.0,-0.9,فیصلہ کرنا
emasculate,0.0,-0.9,emasculate
fracture,0.0,-0.9,فریکچر
bleed,0.0,-0.9,خون بہنا
horrified,0.0,-0.9,خوف زدہ
insensitively,0.0,-0.9,بے حس
suspicion,0.0,-0.9,شک
contend,0.0,-0.9,دعوی کرنا
pain,0.0,-0.9,درد
rants,0.0,-0.9,رینٹس
dishonestly,0.0,-0.9,بے ایمانی سے
ignore,0.0,-0.9,نظر انداز کرنا
tense,0.0,-0.9,تناؤ
dissatisfying,0.0,-0.9,عدم اطمینان بخش
uglier,0.0,-0.9,بدصورت
crumble,0.0,-0.9,چکنا چور ہونا
apologist,0.0,-0.9,معذرت خواہ
narrower,0.0,-0.9,تنگ
flabbergast,0.0,-0.9,flabbergast
slothful,0.0,-0.9,کاہلی
woe,0.0,-0.9,افسوس
inconsistencies,0.0,-0.9,بے ضابطگیوں
errant,0.0,-0.9,گمراہ
rusts,0.0,-0.9,rusts
demonize,0.0,-0.9,شیطان بنانا
wheedle,0.0,-0.9,پہیے
distressing,0.0,-0.9,تکلیف دہ
argumentative,0.0,-0.9,بحث کرنے والا
blockage,0.0,-0.9,رکاوٹ
complaints,0.0,-0.9,شکایات
fatigued,0.0,-0.9,تھکا ہوا
irking,0.0,-0.9,خارش
kills,0.0,-0.9,مار دیتا ہے
lambast,0.0,-0.9,لیمباسٹ
ineloquent,0.0,-0.9,ناجائز
scary,0.0,-0.9,ڈراونا
groundless,0.0,-0.9,بے بنیاد
ignoble,0.0,-0.9,حقیر
sticky,0.0,-0.9,چپچپا
aggression,0.0,-0.9,جارحیت
deception,0.0,-0.9,دھوکہ دہی
malaise,0.0,-0.9,بے آرامی
aimless,0.0,-0.9,بےمقصد
misapprehend,0.0,-0.9,غلط استعمال
nervous,0.0,-0.9,گھبرائے ہوئے
commonplace,0.0,-0.9,عام جگہ
awfully,0.0,-0.9,بہت خوفناک
bitchy,0.0,-0.9,bitchy
tingling,0.0,-0.9,جھگڑا
stubborn,0.0,-0.9,ضد
gawky,0.0,-0.9,gawky
dastardly,0.0,-0.9,بداخلاقی
propagandize,0.0,-0.9,تشہیر کرنا
contaminated,0.0,-0.9,آلودہ
shamelessly,0.0,-0.9,بے شرمی سے
scathingly,0.0,-0.9,سختی سے
detracts,0.0,-0.9,بازیافت
discontented,0.0,-0.9,ناامید
vile,0.0,-0.9,ولا
bloated,0.0,-0.9,پھولا ہوا
worrying,0.0,-0.9,پریشان کن
devilment,0.0,-0.9,شیطانیت
sickening,0.0,-0.9,بیمار ہونا
smudge,0.0,-0.9,دھواں مارنا
repression,0.0,-0.9,جبر
joke,0.0,-0.9,مذاق
snagged,0.0,-0.9,چھین لیا
sully,0.0,-0.9,sully
dearth,0.0,-0.9,افلاس
hardhearted,0.0,-0.9,سخت دل سے
rebuff,0.0,-0.9,جھڑکنا
exhausted,0.0,-0.9,ختم
screwed,0.0,-0.9,خراب
scum,0.0,-0.9,گندگی
silly,0.0,-0.9,پاگل
decrepitude,0.0,-0.9,زوال
steals,0.0,-0.9,چوری
lurking,0.0,-0.9,چھلنی
collude,0.0,-0.9,کولیٹ
botch,0.0,-0.9,botch
sunken,0.0,-0.9,ڈوب گیا
dispiritedly,0.0,-0.9,غیرجانبداری سے
gimmick,0.0,-0.9,چال
helplessness,0.0,-0.9,بے بسی
tedious,0.0,-0.9,تکاؤ
shambles,0.0,-0.9,شور مچانا
deprecate,0.0,-0.9,فرسودہ
smelly,0.0,-0.9,بدبودار
illogical,0.0,-0.9,غیر منطقی
stereotype,0.0,-0.9,دقیانوسی
wane,0.0,-0.9,ختم
jeering,0.0,-0.9,jering
dizzy,0.0,-0.9,چکر آنا
battering,0.0,-0.9,بلے باز
fails,0.0,-0.9,ناکام ہوجاتا ہے
bugs,0.0,-0.9,کیڑے
cry,0.0,-0.9,رونا
unwarranted,0.0,-0.9,غیرضروری
overbearing,0.0,-0.9,دبنگ
riled,0.0,-0.9,چنگھاڑ
disagree,0.0,-0.9,متفق نہیں
remorseful,0.0,-0.9,پچھتاوا
idiots,0.0,-0.9,بیوقوف
scarier,0.0,-0.9,خوفناک
unsuccessful,0.0,-0.9,ناکام
frenetic,0.0,-0.9,انماد
anti-proliferation,0.0,-0.9,اینٹی پھیلاؤ
disasterous,0.0,-0.9,تباہ کن
adversarial,0.0,-0.9,اشتہاری
expropriate,0.0,-0.9,مناسب
fright,0.0,-0.9,خوف
glum,0.0,-0.9,چمچ
mangling,0.0,-0.9,منگلنگ
outraged,0.0,-0.9,مشتعل
threesome,0.0,-0.9,تینوں
besmirch,0.0,-0.9,بسمرچ
unsuccessfully,0.0,-0.9,ناکام
clique,0.0,-0.9,کلک کریں
snagging,0.0,-0.9,چھیننا
smugly,0.0,-0.9,اسمگلنگ
unsettle,0.0,-0.9,بے چین
resurgent,0.0,-0.9,بازیافت کار
discriminate,0.0,-0.9,امتیاز برتنا
disregard,0.0,-0.9,نظرانداز
biases,0.0,-0.9,تعصب
scandalously,0.0,-0.9,اسکینڈل سے
unusually,0.0,-0.9,غیر معمولی طور پر
slanderous,0.0,-0.9,بہتان لگانا
taboo,0.0,-0.9,ممنوع
hypocrite,0.0,-0.9,منافق
unnerved,0.0,-0.9,غیر منقسم
addict,0.0,-0.9,عادی
crueler,0.0,-0.9,کریلر
fib,0.0,-0.9,fib
disaffect,0.0,-0.9,ناکارہ ہونا
weed,0.0,-0.9,گھاس
condescension,0.0,-0.9,condescension
hopelessness,0.0,-0.9,ناامیدی
misguidance,0.0,-0.9,گمراہی
regressive,0.0,-0.9,رجعت پسند
unlamentably,0.0,-0.9,بلاجواز
useless,0.0,-0.9,بیکار
emaciated,0.0,-0.9,emaciated
blandish,0.0,-0.9,بہتان
afraid,0.0,-0.9,خوف زدہ
calumniate,0.0,-0.9,کالمینیٹ
venomously,0.0,-0.9,زہر سے
disown,0.0,-0.9,انکار
womanizer,0.0,-0.9,عورت ساز
rifts,0.0,-0.9,رائفٹس
ax,0.0,-0.9,کلہاڑی
mangled,0.0,-0.9,منگلا ہوا
sobering,0.0,-0.9,سوبرنگ
fraudulent,0.0,-0.9,دھوکہ دہی
inundated,0.0,-0.9,ڈوب
jeers,0.0,-0.9,جینس
seethe,0.0,-0.9,سیٹھ
feckless,0.0,-0.9,بے عیب
bleakness,0.0,-0.9,تاریکی
imprison,0.0,-0.9,قید
detest,0.0,-0.9,نفرت
dishearten,0.0,-0.9,مایوسی
short-lived,0.0,-0.9,قلیل مدتی
disbeliever,0.0,-0.9,کافر
poisonously,0.0,-0.9,زہر سے
disapprobation,0.0,-0.9,ناگوار
negate,0.0,-0.9,نفی کرنا
pestilent,0.0,-0.9,مہلک
recoil,0.0,-0.9,پیچھے ہٹنا
laughingstock,0.0,-0.9,ہنسی کا سرمایہ
retaliate,0.0,-0.9,جوابی کارروائی
spite,0.0,-0.9,اس کے باوجود
dissident,0.0,-0.9,اختلاف
spook,0.0,-0.9,بولی
languid,0.0,-0.9,سست
extortion,0.0,-0.9,بھتہ خوری
corrode,0.0,-0.9,کورروڈ
dismissively,0.0,-0.9,مسترد
misleading,0.0,-0.9,گمراہ کن
insurrection,0.0,-0.9,بغاوت
defiler,0.0,-0.9,defiler
lackluster,0.0,-0.9,تخفیف
shroud,0.0,-0.9,کفن
distress,0.0,-0.9,تکلیف
shrill,0.0,-0.9,ہلنا
oddities,0.0,-0.9,مشکلات
calumny,0.0,-0.9,پرجوش
overloaded,0.0,-0.9,بہت زیادہ
detracting,0.0,-0.9,ہٹانا
flagrantly,0.0,-0.9,واضح طور پر
friggin,0.0,-0.9,friggin
curt,0.0,-0.9,کرٹ
huckster,0.0,-0.9,ہکسٹر
cynicism,0.0,-0.9,بدکاری
detract,0.0,-0.9,روکنا
anxieties,0.0,-0.9,اضطراب
outrageously,0.0,-0.9,اشتعال انگیزی سے
restrict,0.0,-0.9,محدود
sorry,0.0,-0.9,معذرت
bribery,0.0,-0.9,رشوت
regress,0.0,-0.9,رجسٹریشن
washed-out,0.0,-0.9,دھو دیا
meddle,0.0,-0.9,مداخلت
apprehensively,0.0,-0.9,خوف سے
hiss,0.0,-0.9,محسوس
rankle,0.0,-0.9,درجہ
cripple,0.0,-0.9,اپاہج
self-destructive,0.0,-0.9,خود کو تباہ کن
mishandle,0.0,-0.9,بدسلوکی
disconsolate,0.0,-0.9,کنارہ کشی کرنا
petrified,0.0,-0.9,پیٹرفائڈ
occluded,0.0,-0.9,خارج
debaser,0.0,-0.9,ڈیبیسر
rattles,0.0,-0.9,جھنجھٹ
evildoer,0.0,-0.9,قصوروار
shortchange,0.0,-0.9,شارٹ چینج
boredom,0.0,-0.9,بوریت
touchy,0.0,-0.9,ہلکا پھلکا
warning,0.0,-0.9,انتباہ
languorously,0.0,-0.9,سست روی سے
flirty,0.0,-0.9,چھیڑچھاڑ
unjustly,0.0,-0.9,بے انصافی سے
braggart,0.0,-0.9,شیخی باز
harmful,0.0,-0.9,نقصان دہ
overawe,0.0,-0.9,اوور وے
mediocrity,0.0,-0.9,اعتدال پسندی
overthrows,0.0,-0.9,معزول
timidity,0.0,-0.9,ڈرپوک
blunders,0.0,-0.9,غلطی
conscons,0.0,-0.9,conscons
skeletons,0.0,-0.9,کنکال
sensationalize,0.0,-0.9,سنسنی خیز بنانا
balk,0.0,-0.9,بیم
discompose,0.0,-0.9,گلنا
second-class,0.0,-0.9,دوسری جماعت
discriminatory,0.0,-0.9,امتیازی سلوک
degrade,0.0,-0.9,نیچا ہونا
disconcertingly,0.0,-0.9,اضطراب سے
fudge,0.0,-0.9,fudge
envious,0.0,-0.9,حسد کرنا
fragmented,0.0,-0.9,بکھری
annoyances,0.0,-0.9,پریشانیاں
scandalize,0.0,-0.9,اسکینڈلائز کرنا
squirm,0.0,-0.9,جھگڑا
cruelty,0.0,-0.9,ظلم
reprehension,0.0,-0.9,مذمت
stringent,0.0,-0.9,کڑی
stingy,0.0,-0.9,کنجوس
throttle,0.0,-0.9,گلا گھونٹنا
disconcerted,0.0,-0.9,مایوسی
disconcerting,0.0,-0.9,پریشان کن
ashamed,0.0,-0.9,شرم آتی ہے
declining,0.0,-0.9,گرتی جارہی ہے
plot,0.0,-0.9,پلاٹ
dreadfulness,0.0,-0.9,خوفناک
fallout,0.0,-0.9,نتیجہ
improper,0.0,-0.9,نا مناسب
skeptical,0.0,-0.9,شکی
daunt,0.0,-0.9,ڈانٹ
affront,0.0,-0.9,سامنا کرنا
bewildered,0.0,-0.9,حیرت زدہ
distains,0.0,-0.9,تکلیف ہے
smelled,0.0,-0.9,بدبو آ رہی ہے
flirt,0.0,-0.9,اشکبازی
boggle,0.0,-0.9,بوگل
hysteria,0.0,-0.9,ہسٹیریا
worsen,0.0,-0.9,خراب
screech,0.0,-0.9,چیچ
orphan,0.0,-0.9,یتیم
counter-productive,0.0,-0.9,انسداد پیداواری
irksome,0.0,-0.9,غیر مہذب
complains,0.0,-0.9,شکایت
acrimony,0.0,-0.9,acriney
disintegrated,0.0,-0.9,منتشر
life-threatening,0.0,-0.9,جان لیوا
satirize,0.0,-0.9,طنز کرنا
unstable,0.0,-0.9,غیر مستحکم
berate,0.0,-0.9,مشورہ دینا
rotten,0.0,-0.9,بوسیدہ
declaim,0.0,-0.9,اعلان کریں
illusions,0.0,-0.9,وہم
kill,0.0,-0.9,مارنا
rantingly,0.0,-0.9,بکھرے ہوئے
hopelessly,0.0,-0.9,ناامیدی سے
dissuasive,0.0,-0.9,تحلیل
berserk,0.0,-0.9,نڈر
snags,0.0,-0.9,سنیگس
self-defeating,0.0,-0.9,خود کو شکست دینا
horrendous,0.0,-0.9,خوفناک
onslaught,0.0,-0.9,حملہ
broken,0.0,-0.9,ٹوٹاھوا
thankless,0.0,-0.9,بے شک
imprecisely,0.0,-0.9,غلط
bully,0.0,-0.9,بدمعاش
god-awful,0.0,-0.9,بھگوان
disaffirm,0.0,-0.9,ناکارہ ہونا
crappy,0.0,-0.9,بدتمیزی
splitting,0.0,-0.9,تقسیم
unconvincingly,0.0,-0.9,بے یقینی سے
animosity,0.0,-0.9,عداوت
inconsistency,0.0,-0.9,بے ضابطگی
jagged,0.0,-0.9,گھٹا ہوا
mundane,0.0,-0.9,جسمانی
inanely,0.0,-0.9,inanely
broken-hearted,0.0,-0.9,ٹوٹے دل سے
immorality,0.0,-0.9,بد اخلاقی
irritation,0.0,-0.9,جلن
oppressive,0.0,-0.9,جابرانہ
overrun,0.0,-0.9,مغلوب
ironic,0.0,-0.9,ستم ظریفی
torturing,0.0,-0.9,اذیت دینا
stupified,0.0,-0.9,بیوقوف
moan,0.0,-0.9,کراہنا
selfishness,0.0,-0.9,خود غرضی
drawbacks,0.0,-0.9,خرابیاں
prejudge,0.0,-0.9,تعصب
staid,0.0,-0.9,کھڑا
blasphemy,0.0,-0.9,توہین رسالت
stink,0.0,-0.9,بدبو
ache,0.0,-0.9,درد
sneeringly,0.0,-0.9,sneeringly
blunt,0.0,-0.9,کند
forlorn,0.0,-0.9,بد زبانی
jittery,0.0,-0.9,جلدی
dissatisfy,0.0,-0.9,عدم اطمینان کرنا
melodramatically,0.0,-0.9,مدھر
vehement,0.0,-0.9,سختی سے
inaccurately,0.0,-0.9,غلط طور پر
slooow,0.0,-0.9,سلوو
temerity,0.0,-0.9,temerity
irrelevant,0.0,-0.9,غیر متعلقہ
